work,workLabel,authorLabel,genreLabel,countryLabel,durationLabel,publicationDate,performerLabel,partOfLabel
http://www.wikidata.org/entity/Q106897494,Q106897494,Нильс Дестадсбадер,EDM,Бельгия,221,2021-04-29T00:00:00Z,Нильс Дестадсбадер,
http://www.wikidata.org/entity/Q106897494,Q106897494,Нильс Дестадсбадер,поп-музыка,Бельгия,221,2021-04-29T00:00:00Z,Нильс Дестадсбадер,
http://www.wikidata.org/entity/Q106940869,Grand Hotel,Кит Рид,симфорок,Великобритания,258,1973-05-01T00:00:00Z,Procol Harum,
http://www.wikidata.org/entity/Q106804567,Lying All the Time,Wally Tax,гаражный рок,Королевство Нидерландов,192,1966-01-01T00:00:00Z,The Outsiders,
http://www.wikidata.org/entity/Q106192741,Your Love (9PM),ATB,EDM,Германия,150,2021-01-15T00:00:00Z,Topic,
http://www.wikidata.org/entity/Q105161175,You Don't Have to Stay,Дуви Боб,поп-рок,Королевство Нидерландов,146,2013-04-15T00:00:00Z,Дуви Боб,
http://www.wikidata.org/entity/Q105412153,We Were All Wounded at Wounded Knee,Сэнди Бэрон,фанк,США,205,1973-03-30T00:00:00Z,Redbone,
http://www.wikidata.org/entity/Q106380391,Rain,"Д’Арби, Теренс Трент",соул,США,179,1988-01-01T00:00:00Z,"Д’Арби, Теренс Трент",
http://www.wikidata.org/entity/Q106192741,Your Love (9PM),ATB,EDM,Германия,150,2021-01-15T00:00:00Z,ATB,
http://www.wikidata.org/entity/Q105412153,We Were All Wounded at Wounded Knee,Lolly Vegas,фанк,США,205,1973-03-30T00:00:00Z,Redbone,
http://www.wikidata.org/entity/Q106400385,Sendas distintas,Jorge Araújo Chiriboga,pasillo,Эквадор,,1942-01-01T00:00:00Z,Carlota Jaramillo,
http://www.wikidata.org/entity/Q106192741,Your Love (9PM),A7S,EDM,Швеция,150,2021-01-15T00:00:00Z,A7S,
http://www.wikidata.org/entity/Q106897494,Q106897494,Regi Penxten,EDM,Бельгия,221,2021-04-29T00:00:00Z,Regi Penxten,
http://www.wikidata.org/entity/Q106897494,Q106897494,Regi Penxten,поп-музыка,Бельгия,221,2021-04-29T00:00:00Z,Regi Penxten,
http://www.wikidata.org/entity/Q105161175,You Don't Have to Stay,Дуви Боб,американа,Королевство Нидерландов,146,2013-04-15T00:00:00Z,Дуви Боб,
http://www.wikidata.org/entity/Q105925725,What's in a Word,Garry Christian,ритм-н-блюз,,298,1992-01-01T00:00:00Z,The Christians,
http://www.wikidata.org/entity/Q106897494,Q106897494,Regi Penxten,EDM,Бельгия,221,2021-04-29T00:00:00Z,Нильс Дестадсбадер,
http://www.wikidata.org/entity/Q106897494,Q106897494,Regi Penxten,поп-музыка,Бельгия,221,2021-04-29T00:00:00Z,Нильс Дестадсбадер,
http://www.wikidata.org/entity/Q105412153,We Were All Wounded at Wounded Knee,Пэт Вегас,фанк,,205,1973-03-30T00:00:00Z,Redbone,
http://www.wikidata.org/entity/Q105665810,Good as Gold,Грейсон Ченс,инди-поп,США,,2018-06-08T00:00:00Z,Грейсон Ченс,
http://www.wikidata.org/entity/Q105665810,Good as Gold,Грейсон Ченс,поп-музыка,США,,2018-06-08T00:00:00Z,Грейсон Ченс,
http://www.wikidata.org/entity/Q100747053,Q100747053,Юлия Хаусман,духовная песня,Российская империя,,,,
http://www.wikidata.org/entity/Q106192741,Your Love (9PM),ATB,EDM,Германия,150,2021-01-15T00:00:00Z,A7S,
http://www.wikidata.org/entity/Q105105106,Q105105106,Луис Агиле,,Аргентина,,1972-01-01T00:00:00Z,Луис Агиле,
http://www.wikidata.org/entity/Q106908122,Blijf (Tot de zon je komt halen),Jan Groenteman,Недерпоп,Бельгия,212,2007-04-27T00:00:00Z,Пауль де Леув,
http://www.wikidata.org/entity/Q105527261,Nothing but a Heartache,Wayne Bickerton,соул,Великобритания,161,1968-11-01T00:00:00Z,The Flirtations,
http://www.wikidata.org/entity/Q106960836,Rosanne,Nick Schilder,Palingsound,Королевство Нидерландов,159,2008-03-07T00:00:00Z,Nick & Simon,
http://www.wikidata.org/entity/Q106066298,Q106066298,Thijs Boontjes,Недерпоп,Королевство Нидерландов,243,2020-02-10T00:00:00Z,Thijs Boontjes,
http://www.wikidata.org/entity/Q105412153,We Were All Wounded at Wounded Knee,Сэнди Бэрон,поп-рок,США,205,1973-03-30T00:00:00Z,Redbone,
http://www.wikidata.org/entity/Q105232023,Q105232023,Анук,поп-рок,Королевство Нидерландов,225,2014-09-12T00:00:00Z,Анук,
http://www.wikidata.org/entity/Q105412153,We Were All Wounded at Wounded Knee,Lolly Vegas,поп-рок,США,205,1973-03-30T00:00:00Z,Redbone,
http://www.wikidata.org/entity/Q106192741,Your Love (9PM),Topic,EDM,Германия,150,2021-01-15T00:00:00Z,Topic,
